"customer_id,feedback,complaint_type,purchase_history"
"101,The product stopped working within a week,Product Defect,5"
"102,The delivery was late by 3 days no update was given,Late Delivery,2"
"103,Customer support was unhelpful and rude,Customer Service,3"
"104,The app crashes frequently please fix it,Technical Issue,4"
"105,Received a wrong item unacceptable,Wrong Product,2"
"106,The website is too slow and difficult to navigate,Website Issue,1"
"107,I was charged twice for my order need a refund,Billing Issue,6"
"108,The quality is not as advertised looks cheap,Quality Issue,3"
"109,Support team takes too long to respond,Customer Service,2"
"110,The payment process is confusing and not user friendly,Payment Issue,5"
